Operation,Operands,Result,Timestamp
add,"2, 3",5,2025-10-22 22:08:39
add,"1, 2",3,2025-10-22 22:08:39
subtract,"5, 1",4,2025-10-22 22:08:39
multiply,"2, 4",8,2025-10-22 22:08:39
add,"2, 3",5,2025-10-22 22:10:25
add,"2, 3",5,2025-10-22 22:10:25
add,"1, 2",3,2025-10-22 22:10:25
subtract,"5, 1",4,2025-10-22 22:10:25
multiply,"2, 4",8,2025-10-22 22:10:25
add,"2, 3",5,2025-10-22 22:11:30
add,"2, 3",5,2025-10-22 22:11:30
add,"1, 2",3,2025-10-22 22:11:30
subtract,"5, 1",4,2025-10-22 22:11:30
multiply,"2, 4",8,2025-10-22 22:11:30
add,"2, 3",5,2025-10-22 22:14:11
add,"2, 3",5,2025-10-22 22:14:11
add,"1, 2",3,2025-10-22 22:14:11
subtract,"5, 1",4,2025-10-22 22:14:11
multiply,"2, 4",8,2025-10-22 22:14:11
add,"2, 3",5,2025-10-22 22:14:23
add,"2, 3",5,2025-10-22 22:14:23
add,"1, 2",3,2025-10-22 22:14:23
subtract,"5, 1",4,2025-10-22 22:14:23
multiply,"2, 4",8,2025-10-22 22:14:23
add,"2, 3",5,2025-10-22 22:16:54
add,"2, 3",5,2025-10-22 22:16:54
add,"1, 2",3,2025-10-22 22:16:54
subtract,"5, 1",4,2025-10-22 22:16:54
multiply,"2, 4",8,2025-10-22 22:16:54
add,"2, 3",5,2025-10-22 22:19:44
add,"2, 3",5,2025-10-22 22:19:45
add,"1, 2",3,2025-10-22 22:19:45
subtract,"5, 1",4,2025-10-22 22:19:45
multiply,"2, 4",8,2025-10-22 22:19:45
